"state_county","trump","biden","others"
"idaho,twin falls",25897,9391,1392
"idaho,valley",3947,2976,140
"idaho,washington",4154,1073,117
"illinois,adams",24220,8633,674
"illinois,alexander",1486,1114,18
"illinois,bond",5625,2288,231
"illinois,boone",13883,10542,554
"illinois,brown",1931,486,108
"illinois,bureau",10411,6669,354
"illinois,calhoun",2046,677,50
"illinois,carroll",5105,2748,171
"illinois,cass",3625,1615,86
"illinois,champaign",35285,57067,3216
"illinois,christian",11563,4335,306
"illinois,clark",6226,1993,136
"illinois,clay",5629,1129,141
"illinois,clinton",14304,4493,417
"illinois,coles",14037,8067,502
"illinois,cook",558269,1725973,37157
"illinois,crawford",7043,2202,196
"illinois,cumberland",4601,1142,107
"illinois,dekalb",21905,24643,1441
"illinois,dewitt",5632,2191,201
"illinois,douglas",6227,2335,198
"illinois,dupage",193611,281222,10231
"illinois,edgar",6193,1887,116
"illinois,edwards",2833,488,47
"illinois,effingham",15006,3716,361
"illinois,fayette",8055,1826,195
"illinois,ford",5048,1754,165
"illinois,franklin",13622,4760,287
"illinois,fulton",9867,6503,354
"illinois,gallatin",2019,622,34
"illinois,greene",4770,1349,108
"illinois,grundy",16523,9626,604
"illinois,hamilton",3432,824,67
"illinois,hancock",6906,2315,162
"illinois,hardin",1691,449,22
"illinois,henderson",2394,1187,75
"illinois,henry",15300,9797,603
"illinois,iroquois",10877,2908,259
"illinois,jackson",10890,11181,645
"illinois,jasper",4494,1007,85
"illinois,jefferson",12476,4608,352
"illinois,jersey",8712,2961,287
"illinois,jodaviess",7166,5109,220
"illinois,johnson",5059,1281,110
"illinois,kane",96775,130166,4935
"illinois,kankakee",28532,20271,1236
"illinois,kendall",29492,33168,1545
"illinois,knox",12009,10703,493
"illinois,lake",123594,204032,6530
"illinois,lasalle",30113,22442,1128
"illinois,lawrence",4886,1419,117
"illinois,lee",9630,6407,403
"illinois,livingston",12208,4615,351
"illinois,logan",9136,3840,318
"illinois,macon",28589,19847,951
"illinois,macoupin",16153,7365,552
"illinois,madison",76031,57836,3691
"illinois,marion",12678,4524,290
"illinois,marshall",4197,2005,143
"illinois,mason",4654,1985,127
"illinois,massac",4997,1725,96
"illinois,mcdonough",7027,4992,266
"illinois,mchenry",82260,78154,4164
"illinois,mclean",40502,43933,2954
"illinois,menard",4764,2022,168
"illinois,mercer",5418,3280,216
"illinois,monroe",14142,6569,495
"illinois,montgomery",9544,3905,312
"illinois,morgan",9950,5076,307
"illinois,moultrie",4964,1662,118
"illinois,ogle",16248,9428,664
"illinois,peoria",38252,43578,2143
"illinois,perry",7313,2612,146
"illinois,piatt",6248,3329,274
"illinois,pike",6332,1484,149
"illinois,pope",1722,433,20
"illinois,pulaski",1699,891,41
"illinois,putnam",1993,1338,59
"illinois,randolph",11076,3592,242
"illinois,richland",6089,1830,144
"illinois,rock island",28603,36691,1523
